run_num,dice,Avg Error,Avg FA rate,Avg MD rate
68,0.974378943,0.018475189,0.049266899,0.072440358
27,0.959065914,0.018517067,0.037338469,0.077286282
278,0.953631401,0.015623713,0.030690855,0.060387674
178,0.955190003,0.01616376,0.036158052,0.06430169
117,0.954964757,0.015108957,0.031436382,0.061195328
275,0.950716376,0.015003159,0.025720676,0.076851392
201,0.963848233,0.016677889,0.033735089,0.063307654
272,0.97848773,0.016638074,0.043551193,0.060574056
320,0.988634229,0.017200061,0.03957505,0.065730616
254,0.977280617,0.015922522,0.044607356,0.065109344
217,0.962628841,0.015018059,0.038146123,0.060325547
304,0.974245846,0.016221881,0.050633698,0.056970676
318,0.982888341,0.016716459,0.039823559,0.057467694
316,0.979091287,0.018011416,0.044483101,0.063991054
388,0.983662963,0.016353997,0.054982604,0.059517893
263,0.98926878,0.01773607,0.041625249,0.066414016
355,0.962685883,0.015219176,0.033113817,0.062748509
243,0.953738689,0.015359551,0.034791252,0.062872763
215,0.980242252,0.017489179,0.038953777,0.066786779
327,0.96055609,0.01613435,0.034791252,0.070079523
289,0.982116342,0.018948064,0.036344433,0.065233598
229,0.97182107,0.015774888,0.044980119,0.05709493
116,0.951333046,0.017595864,0.026590457,0.078590954
102,0.976610065,0.016792463,0.051006461,0.062251491
171,0.980013728,0.015053855,0.044234592,0.060636183
352,0.979791284,0.017833845,0.044545229,0.067408052
223,0.975801885,0.017706841,0.043861829,0.064612326
321,0.971371055,0.01632622,0.039388668,0.056784294
242,0.966801286,0.014087889,0.042060139,0.060014911
231,0.959969044,0.016168127,0.03777336,0.058275348
159,0.977909207,0.017863316,0.043178429,0.067532306
332,0.983672738,0.017055624,0.042184394,0.060263419
245,0.963213146,0.015910831,0.038270378,0.05709493
110,0.979927301,0.017003941,0.048148608,0.056970676
181,0.977259159,0.017016688,0.03889165,0.057716203
350,0.978339076,0.018156712,0.031125746,0.074117793
207,0.985814989,0.01740405,0.045539264,0.06653827
183,0.977930307,0.016994573,0.054237078,0.062251491
309,0.989081144,0.01605459,0.047837972,0.060077038
77,0.984535098,0.015605371,0.048956262,0.064798708
365,0.984320879,0.017169604,0.047465209,0.056473658
226,0.990406156,0.01759944,0.047713718,0.069582505
363,0.987600088,0.017314017,0.042805666,0.060201292
347,0.98278445,0.017734089,0.050944334,0.063059145
280,0.975073218,0.016626761,0.051192843,0.058834493
188,0.985790372,0.01703147,0.054237078,0.058710239
152,0.989305735,0.01857913,0.046595427,0.063866799
154,0.974853039,0.016327418,0.04069334,0.058585984
64,0.962587953,0.014657547,0.042122266,0.058151093
271,0.990274668,0.018939635,0.044420974,0.064177435
113,0.975909591,0.01850063,0.043737575,0.070328032
78,0.976418495,0.016789143,0.036530815,0.058213221
291,0.987157106,0.017204083,0.049701789,0.060946819
301,0.988794565,0.019287228,0.044793738,0.062562127
331,0.99035275,0.018509111,0.045104374,0.063556163
360,0.975531757,0.015816359,0.038643141,0.057591948
90,0.975791633,0.017629931,0.028516402,0.084058151
252,0.98794353,0.016691416,0.040941849,0.068774851
265,0.990611434,0.017969149,0.04249503,0.063059145
160,0.973915279,0.015066482,0.046906064,0.059020875
86,0.974897504,0.016386763,0.045290755,0.057405567
131,0.981928229,0.015744066,0.040631213,0.058337475
44,0.986320019,0.016402023,0.043675447,0.0631834
189,0.985817671,0.018037525,0.046719682,0.061008946
124,0.990355253,0.016668988,0.046657555,0.065979125
290,0.984405637,0.018197604,0.043364811,0.065171471
288,0.988035798,0.016185584,0.049577535,0.063369781
153,0.977829099,0.016124815,0.042743539,0.058399602
380,0.981322885,0.016096655,0.039388668,0.065233598
241,0.988672376,0.017346844,0.046471173,0.063431909
147,0.981198072,0.018043421,0.041190358,0.06902336
299,0.9589082,0.019033868,0.029324056,0.076292247
344,0.989093542,0.018216474,0.043675447,0.065792744
54,0.975698829,0.017018051,0.036344433,0.057032803
130,0.987119973,0.017553438,0.052124751,0.063307654
211,0.98228097,0.017556824,0.051814115,0.057281312
185,0.988152623,0.01774149,0.047092445,0.065792744
387,0.958757162,0.016377562,0.036779324,0.05485835
37,0.980856061,0.015563817,0.046906064,0.062437873
89,0.984654903,0.016206402,0.055914513,0.062624254
277,0.989497185,0.01664907,0.050882207,0.0625
227,0.99139899,0.017863064,0.052311133,0.0631834
237,0.990321517,0.017820322,0.043054175,0.058088966
179,0.990214109,0.018939705,0.044048211,0.063059145
219,0.991086125,0.017239363,0.042743539,0.068215706
209,0.971062779,0.016379356,0.039761431,0.058523857
