run_num,model name,num epochs,epoch stop,batch size,learning rate,weight_decay,beta1,beta2,min lr,kernel size,max ch,norm ref,norm lambda,n heads,drop prob,n trans layers,attention type,loss_func,loss,loss_val,dice,loss SD,loss_val SD,dice SD,Avg Error,Avg FA rate,Avg MD rate,run time,eval run time
137,U_Net,120,120,32,2.157706113554932e-05,0.0027505214609584,0.5709445609544694,0.9987835538659464,1.8112289245269358e-11,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.32425057888031,0.3256071805953979,0.9050875306129456,0.0096571102678591,0.0161958335877005,0.0498719514080759,1.0,1.0,1.0,1423.3624603748322,-1.0
138,U_Net,120,120,32,8.905677927082582e-05,1.25916650657241e-05,0.9693983726735752,0.99987530518832,8.63629893300817e-09,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.1273467242717743,0.1270407140254974,0.9276734590530396,0.0237273354017596,0.0238417188459032,0.007311092858158,1.0,1.0,1.0,1462.2899510860443,-1.0
139,U_Net,120,120,32,1.701373175168485e-05,0.0017060006137333,0.445184201251226,0.984446670731862,1.9414983172382043e-09,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.3809837102890014,0.37701216340065,0.8998005390167236,0.0242380794662135,0.0209705589536373,0.0277969264849766,1.0,1.0,1.0,1552.034176826477,-1.0
140,U_Net,120,120,64,0.0010843710191552,9.933098367229858e-05,0.268638324188038,0.994811490009481,2.9206265608263957e-09,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.0748147219419479,0.0745308250188827,0.924938142299652,0.0123607340070478,0.0231829653477124,0.0193487103006662,1.0,1.0,1.0,1268.051798582077,-1.0
141,U_Net,120,120,32,0.0007553998694766,4.983945069170223e-05,0.6992968190694586,0.9900882714050496,4.0654441037013367e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0544580742716789,0.0513932183384895,0.983210027217865,0.0643188341836266,0.0511810375136087,0.0165300864749873,0.0158966396599838,0.0476515904572564,0.0585238568588469,1638.2255971431732,82.43551969528198
142,U_Net,120,120,64,0.0001259826332727,0.0637293869923353,0.9069340026685158,0.9920968115989542,7.200818065017907e-11,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.3018619418144226,0.2990120053291321,0.9407554268836976,0.0314007406737572,0.0704569054293753,0.0236782223371843,1.0,1.0,1.0,1207.202660322189,-1.0
143,U_Net,120,120,64,6.009772342787834e-05,0.0002013837183194,0.8798931869973959,0.9984367122843738,4.848653099536509e-09,11,128,0.01,0,4,0.1,1,Mult,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.1419908106327057,0.1398299932479858,0.9449236392974854,0.0154595731428469,0.0115157218783813,0.0289765639201285,1.0,1.0,1.0,1217.248878240585,-1.0
144,U_Net,120,120,32,0.0014549355627782,0.0001343497483711,0.5920564048997901,0.9880715979300017,1.0072155860384187e-11,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1274876296520233,0.1238411217927932,0.9566140174865724,0.0443593310324158,0.0349851426567881,0.0127431598078293,0.0157527444856452,0.0415009940357852,0.0596421471172962,1845.6621799469,55.16930294036865
145,U_Net,120,120,64,0.0001571385217231,0.0008573710281963,0.5306280877091446,0.995698292844588,9.468073183571292e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0467258468270301,0.0428414791822433,0.987823724746704,0.0433333803837691,0.0592924136644426,0.0311176140475664,0.01822660111144,0.0421843936381709,0.0651093439363817,1292.1730017662048,130.30648493766785
146,U_Net,120,120,64,0.000237180819459,0.0018963553202304,0.6391107244718921,0.9969843442537693,6.038205426598242e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0424040518701076,0.0394135117530822,0.9893264770507812,0.049449766585767,0.0917951276961492,0.0220804851384923,0.0163151485692543,0.0465333001988071,0.0661033797216699,1326.1803002357483,70.72792530059814
147,U_Net,120,120,64,0.0001942402073978,0.010414597647799,0.3490061816462596,0.9979982947834496,1.9473053923490486e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1444717198610305,0.141092911362648,0.9615005254745485,0.0473594339030517,0.4747227629654605,0.1018264498259485,0.0173593891638458,0.0368414512922465,0.0632455268389662,1391.022206544876,33.81123328208923
148,U_Net,120,120,64,0.000238131529869,0.0004496148209181,0.6687797636204926,0.9968188823550672,6.078451544930737e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0346170291304588,0.031687069684267,0.990269660949707,0.0523658667582877,0.0732755320355801,0.0171938385950979,0.018258279847513,0.049888170974155,0.0636804174950298,1356.3481504917145,104.50258874893188
149,U_Net,120,120,64,0.0006410803921366,0.004714750022038,0.8248413301190107,0.9968223033164544,6.50072233157236e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1727734506130218,0.1699004918336868,0.9444329738616944,0.0379608979791664,0.1275521812866722,0.028650267334794,1.0,1.0,1.0,1414.1537327766418,-1.0
150,U_Net,120,120,64,0.0004124959257111,0.0003576398658754,0.7533364445434364,0.9948870121948792,2.6952265049121364e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0536720007658004,0.0502486824989318,0.9843045473098756,0.0637837378010911,0.0801053558210746,0.0172514833432778,0.0159229989858541,0.0457877733598409,0.0587102385685884,1393.6781725883484,92.55583786964417
151,U_Net,120,120,64,0.00027495729419,0.0018926429943271,0.7972431388277016,0.993341250033392,6.194627856949871e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0528440326452255,0.049271423369646,0.9861558675765992,0.0539263787530884,0.0788998509814669,0.0153346316754887,0.0160475521673901,0.0452286282306163,0.0665382703777336,1488.4893758296969,120.58751463890076
152,U_Net,120,120,64,0.0002396680680793,0.0208370515727809,0.6713042811186607,0.9962742708927352,1.0373827475578306e-09,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.2041377127170562,0.200926274061203,0.9486947655677797,0.0420705280494818,0.1654533115391399,0.0416232936234457,1.0,1.0,1.0,1437.6063556671145,-1.0
153,U_Net,120,120,64,0.0003500758489672,0.0030267018359855,0.6386448980944273,0.9989313986481936,1.622278778724782e-09,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0991506725549697,0.0958715379238128,0.9698500633239746,0.0569122791758533,0.1034131803057533,0.0332486102598005,0.0160475110551011,0.044358846918489,0.064301689860835,1460.48775267601,68.89846849441528
154,U_Net,120,120,64,0.0001338412717281,0.0015067797655042,0.8616047448121043,0.9974049604437042,1.293142490249562e-09,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0475471168756485,0.0440599173307418,0.9885200262069702,0.0340646253542933,0.0522674887107919,0.018832528514025,0.018062028586293,0.046284791252485,0.0682157057654075,1363.1080629825592,144.2327377796173
155,U_Net,120,120,64,0.0005689208746286,0.0010705709127304,0.7744034684187814,0.9985845409928478,1.3625038187722054e-10,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.07475346326828,0.0743221342563629,0.9263091087341307,0.011453233193669,0.0209163072860762,0.0105987336296437,1.0,1.0,1.0,1147.800818681717,-1.0
