run_num,dice,Avg Error,Avg FA rate,Avg MD rate
92,0.9552,0.0182,0.0310,0.0839
94,0.9586,0.0140,0.0225,0.0793
95,0.9854,0.0196,0.0478,0.0664
96,0.9704,0.0177,0.0393,0.0609
100,0.9888,0.0174,0.0460,0.0657
101,0.9825,0.0182,0.0390,0.0661
102,0.9631,0.0166,0.0352,0.0627
105,0.9617,0.0164,0.0362,0.0789
107,0.9850,0.0187,0.0439,0.0654
114,0.9778,0.0173,0.0420,0.0676
117,0.9890,0.0180,0.0454,0.0695
120,0.9890,0.0170,0.0436,0.0665
122,0.9883,0.0165,0.0423,0.0654
126,0.9849,0.0192,0.0453,0.0665
127,0.9819,0.0153,0.0449,0.0567
131,0.9560,0.0180,0.0338,0.0777
133,0.9523,0.0156,0.0347,0.0636
134,0.9861,0.0173,0.0463,0.0631
135,0.9781,0.0156,0.0467,0.0621
141,0.9832,0.0159,0.0477,0.0585
144,0.9566,0.0158,0.0415,0.0596
145,0.9878,0.0182,0.0422,0.0651
146,0.9893,0.0163,0.0465,0.0661
147,0.9615,0.0174,0.0368,0.0632
148,0.9903,0.0183,0.0499,0.0637
150,0.9843,0.0159,0.0458,0.0587
151,0.9862,0.0160,0.0452,0.0665
153,0.9699,0.0160,0.0444,0.0643
154,0.9885,0.0181,0.0463,0.0682
156,0.9576,0.0164,0.0396,0.0627
158,0.9892,0.0196,0.0485,0.0623
160,0.9874,0.0172,0.0490,0.0650
161,0.9879,0.0161,0.0475,0.0615
162,0.9667,0.0173,0.0412,0.0702
163,0.9877,0.0157,0.0453,0.0609
165,0.9701,0.0184,0.0491,0.0732
167,0.9876,0.0159,0.0489,0.0636
169,0.9870,0.0168,0.0426,0.0687
170,0.9841,0.0173,0.0463,0.0578
171,0.9874,0.0168,0.0422,0.0598
172,0.9861,0.0168,0.0516,0.0635
174,0.9791,0.0182,0.0389,0.0725
175,0.9831,0.0178,0.0400,0.0689
177,0.9895,0.0178,0.0513,0.0665
179,0.9554,0.0185,0.0282,0.0825
183,0.9513,0.0175,0.0197,0.0944
185,0.9802,0.0172,0.0379,0.0716
187,0.9867,0.0175,0.0427,0.0637
190,0.9834,0.0166,0.0480,0.0578
191,0.9745,0.0153,0.0446,0.0598
195,0.9810,0.0168,0.0420,0.0681
197,0.9874,0.0182,0.0477,0.0586
199,0.9855,0.0165,0.0435,0.0616
200,0.9820,0.0184,0.0378,0.0702
201,0.9896,0.0189,0.0446,0.0633
202,0.9814,0.0158,0.0498,0.0611
203,0.9781,0.0166,0.0384,0.0660
204,0.9847,0.0161,0.0480,0.0611
207,0.9843,0.0178,0.0442,0.0644
209,0.9876,0.0162,0.0512,0.0669
210,0.9888,0.0176,0.0477,0.0599
211,0.9635,0.0179,0.0314,0.0801
212,0.9849,0.0172,0.0475,0.0614
213,0.9518,0.0166,0.0241,0.0780
214,0.9889,0.0177,0.0467,0.0656
220,0.9813,0.0159,0.0494,0.0644
221,0.9771,0.0196,0.0414,0.0701
222,0.9810,0.0190,0.0390,0.0678
223,0.9556,0.0157,0.0356,0.0629
224,0.9652,0.0161,0.0445,0.0628
228,0.9878,0.0162,0.0381,0.0646
230,0.9562,0.0152,0.0390,0.0605
231,0.9765,0.0173,0.0321,0.0686
233,0.9714,0.0182,0.0354,0.0702
234,0.9897,0.0166,0.0527,0.0649
236,0.9835,0.0159,0.0398,0.0625
238,0.9612,0.0150,0.0357,0.0590
240,0.9778,0.0163,0.0455,0.0569
241,0.9886,0.0167,0.0495,0.0618
242,0.9830,0.0170,0.0451,0.0586
243,0.9686,0.0161,0.0421,0.0558
244,0.9824,0.0174,0.0438,0.0652
245,0.9841,0.0160,0.0470,0.0607
246,0.9504,0.0130,0.0197,0.0798
248,0.9856,0.0183,0.0486,0.0609
250,0.9875,0.0171,0.0453,0.0600
251,0.9863,0.0175,0.0476,0.0612
252,0.9751,0.0157,0.0365,0.0594
253,0.9528,0.0155,0.0307,0.0584
254,0.9865,0.0178,0.0416,0.0678
255,0.9812,0.0177,0.0449,0.0653
257,0.9869,0.0171,0.0414,0.0677
258,0.9667,0.0183,0.0398,0.0713
259,0.9866,0.0175,0.0408,0.0649
260,0.9885,0.0159,0.0449,0.0650
261,0.9890,0.0174,0.0536,0.0608
262,0.9831,0.0194,0.0440,0.0676
263,0.9874,0.0189,0.0523,0.0686
264,0.9501,0.0156,0.0301,0.0637
265,0.9896,0.0167,0.0427,0.0619
266,0.9880,0.0152,0.0468,0.0623
267,0.9890,0.0162,0.0442,0.0644
268,0.9889,0.0181,0.0417,0.0653
269,0.9870,0.0170,0.0437,0.0609
270,0.9854,0.0176,0.0491,0.0631
271,0.9861,0.0167,0.0465,0.0586
273,0.9897,0.0179,0.0502,0.0616
274,0.9880,0.0164,0.0478,0.0622
276,0.9846,0.0159,0.0435,0.0608
277,0.9796,0.0157,0.0432,0.0628
278,0.9880,0.0173,0.0442,0.0634
280,0.9828,0.0166,0.0455,0.0563
281,0.9894,0.0169,0.0457,0.0624
284,0.9876,0.0181,0.0477,0.0659
286,0.9877,0.0167,0.0440,0.0632
287,0.9623,0.0151,0.0347,0.0588
288,0.9867,0.0185,0.0500,0.0642
289,0.9733,0.0151,0.0436,0.0600
291,0.9897,0.0182,0.0484,0.0658
292,0.9797,0.0152,0.0460,0.0595
295,0.9738,0.0169,0.0390,0.0579
297,0.9816,0.0155,0.0522,0.0632
298,0.9836,0.0173,0.0433,0.0560
299,0.9858,0.0160,0.0431,0.0621
300,0.9880,0.0188,0.0486,0.0619
301,0.9740,0.0168,0.0503,0.0587
302,0.9835,0.0174,0.0471,0.0585
304,0.9873,0.0173,0.0476,0.0611
305,0.9606,0.0155,0.0412,0.0613
308,0.9872,0.0183,0.0476,0.0637
309,0.9881,0.0169,0.0485,0.0629
310,0.9762,0.0194,0.0452,0.0654
311,0.9657,0.0154,0.0473,0.0566
312,0.9564,0.0145,0.0308,0.0698
313,0.9894,0.0182,0.0445,0.0654
315,0.9898,0.0176,0.0455,0.0650
317,0.9799,0.0160,0.0465,0.0587
318,0.9826,0.0157,0.0483,0.0583
320,0.9791,0.0158,0.0446,0.0576
321,0.9838,0.0166,0.0498,0.0616
322,0.9864,0.0182,0.0447,0.0676
323,0.9803,0.0161,0.0420,0.0659
324,0.9884,0.0170,0.0461,0.0652
326,0.9726,0.0164,0.0454,0.0536
328,0.9824,0.0149,0.0437,0.0590
329,0.9883,0.0163,0.0412,0.0642
331,0.9841,0.0168,0.0531,0.0616
332,0.9802,0.0163,0.0395,0.0595
333,0.9883,0.0185,0.0470,0.0629
334,0.9743,0.0174,0.0324,0.0723
335,0.9820,0.0166,0.0411,0.0587
336,0.9797,0.0184,0.0385,0.0664
338,0.9892,0.0166,0.0454,0.0595
339,0.9904,0.0167,0.0456,0.0654
340,0.9541,0.0159,0.0230,0.0787
342,0.9807,0.0163,0.0453,0.0705
343,0.9881,0.0177,0.0485,0.0628
344,0.9892,0.0185,0.0469,0.0606
345,0.9732,0.0185,0.0408,0.0675
346,0.9795,0.0179,0.0408,0.0674
350,0.9541,0.0144,0.0197,0.0807
351,0.9882,0.0184,0.0457,0.0595
353,0.9857,0.0183,0.0445,0.0708
354,0.9773,0.0167,0.0380,0.0654
355,0.9869,0.0183,0.0502,0.0650
356,0.9812,0.0175,0.0445,0.0699
360,0.9895,0.0164,0.0503,0.0660
362,0.9838,0.0157,0.0504,0.0566
365,0.9863,0.0164,0.0432,0.0638
366,0.9818,0.0170,0.0509,0.0582
367,0.9726,0.0198,0.0425,0.0700
368,0.9828,0.0156,0.0373,0.0606
369,0.9826,0.0186,0.0532,0.0629
371,0.9725,0.0189,0.0434,0.0685
373,0.9522,0.0168,0.0344,0.0669
375,0.9753,0.0149,0.0388,0.0671
376,0.9875,0.0170,0.0504,0.0648
377,0.9745,0.0170,0.0309,0.0765
378,0.9834,0.0176,0.0408,0.0590
379,0.9716,0.0168,0.0426,0.0607
380,0.9876,0.0175,0.0462,0.0605
382,0.9732,0.0186,0.0469,0.0678
384,0.9682,0.0156,0.0475,0.0596
386,0.9799,0.0193,0.0457,0.0658
387,0.9894,0.0165,0.0473,0.0637
388,0.9719,0.0163,0.0426,0.0604
389,0.9890,0.0183,0.0504,0.0614
390,0.9861,0.0174,0.0478,0.0655
393,0.9830,0.0165,0.0372,0.0698
395,0.9606,0.0152,0.0365,0.0588
396,0.9910,0.0179,0.0507,0.0609
